
VOLTA 1
Ciclista   0: metro  55, raia  1
Ciclista   2: metro  21, raia  6
Ciclista   3: metro  58, raia  8
Ciclista   4: metro  29, raia  9
Ciclista   5: metro  20, raia  6
Ciclista   6: metro  15, raia  9
Ciclista   8: metro  60, raia  6
Ciclista   9: metro  61, raia  9
Ciclista  10: metro  36, raia  3
Ciclista  14: metro  69, raia  8
Ciclista  15: metro  44, raia  5
Ciclista  16: metro  57, raia  5
Ciclista  17: metro  60, raia  8
Ciclista  19: metro  26, raia  6
Ciclista  20: metro  24, raia  0
Ciclista  21: metro  47, raia  2
Ciclista  22: metro  14, raia  7
Ciclista  23: metro  25, raia  7
Ciclista  25: metro  62, raia  7
Ciclista  28: metro  55, raia  5
Ciclista  31: metro  28, raia  8
Ciclista  33: metro  20, raia  8
Ciclista  35: metro  66, raia  1
Ciclista  36: metro  56, raia  6
Ciclista  37: metro  36, raia  9
Ciclista  39: metro  30, raia  8
Ciclista  42: metro  54, raia  8
Ciclista  44: metro  61, raia  8
Ciclista  45: metro  64, raia  8
Ciclista  49: metro  63, raia  8
Ciclista  51: metro  53, raia  7
Ciclista  52: metro  33, raia  7
Ciclista  54: metro  69, raia  9
Ciclista  55: metro  70, raia  4
Ciclista  56: metro  64, raia  3
Ciclista  57: metro  71, raia  3
Ciclista  59: metro  71, raia  9
Ciclista  62: metro  72, raia  7
Ciclista  64: metro  67, raia  9
Ciclista  66: metro  72, raia  5
Ciclista  69: metro  54, raia  9
Ciclista  73: metro   0, raia  8
Ciclista  74: metro  55, raia  7

VOLTA 14
Ciclista   0: metro  59, raia  9
Ciclista   1: metro  65, raia  7
Ciclista   2: metro  64, raia  6
Ciclista   3: metro  26, raia  8
Ciclista   4: metro  40, raia  6
Ciclista   5: metro  63, raia  6
Ciclista   6: metro  58, raia  9
Ciclista   8: metro  55, raia  6
Ciclista   9: metro  29, raia  9
Ciclista  10: metro  24, raia  3
Ciclista  14: metro  37, raia  8
Ciclista  15: metro  28, raia  7
Ciclista  17: metro  34, raia  9
Ciclista  19: metro  69, raia  6
Ciclista  20: metro  67, raia  0
Ciclista  21: metro  58, raia  2
Ciclista  22: metro  57, raia  7
Ciclista  23: metro  68, raia  7
Ciclista  25: metro  59, raia  6
Ciclista  28: metro  33, raia  4
Ciclista  31: metro  71, raia  8
Ciclista  33: metro  31, raia  8
Ciclista  35: metro  34, raia  1
Ciclista  36: metro  36, raia  8
Ciclista  37: metro  24, raia  8
Ciclista  39: metro  73, raia  8
Ciclista  42: metro  54, raia  6
Ciclista  44: metro  36, raia  7
Ciclista  45: metro  32, raia  8
Ciclista  49: metro  30, raia  9
Ciclista  51: metro  41, raia  6
Ciclista  52: metro   1, raia  7
Ciclista  54: metro  37, raia  9
Ciclista  55: metro   0, raia  4
Ciclista  57: metro   2, raia  3
Ciclista  59: metro  39, raia  9
Ciclista  62: metro   2, raia  9
Ciclista  64: metro  36, raia  9
Ciclista  66: metro   4, raia  5
Ciclista  69: metro  43, raia  6
Ciclista  73: metro  43, raia  8
Ciclista  74: metro  23, raia  7

VOLTA 15
Ciclista   0: metro  44, raia  9
Ciclista   1: metro  12, raia  9
Ciclista   2: metro  12, raia  6
Ciclista   4: metro  43, raia  8
Ciclista   5: metro  21, raia  7
Ciclista   6: metro  43, raia  9
Ciclista   8: metro  14, raia  9
Ciclista   9: metro  14, raia  8
Ciclista  10: metro  17, raia  3
Ciclista  14: metro  22, raia  8
Ciclista  15: metro  25, raia  7
Ciclista  17: metro   0, raia  8
Ciclista  19: metro  32, raia  6
Ciclista  20: metro  52, raia  0
Ciclista  21: metro  52, raia  2
Ciclista  22: metro   9, raia  9
Ciclista  23: metro  15, raia  8
Ciclista  25: metro  52, raia  8
Ciclista  28: metro  36, raia  4
Ciclista  31: metro  56, raia  8
Ciclista  33: metro  37, raia  6
Ciclista  35: metro  37, raia  1
Ciclista  36: metro  21, raia  9
Ciclista  37: metro   9, raia  8
Ciclista  39: metro  58, raia  8
Ciclista  42: metro  50, raia  8
Ciclista  44: metro  42, raia  7
Ciclista  49: metro  15, raia  9
Ciclista  51: metro  43, raia  6
Ciclista  52: metro  61, raia  7
Ciclista  54: metro  41, raia  9
Ciclista  57: metro  47, raia  5
Ciclista  62: metro  62, raia  9
Ciclista  66: metro  64, raia  5
Ciclista  69: metro   7, raia  6
Ciclista  73: metro  28, raia  8
Ciclista  74: metro   8, raia  7

VOLTA 16
Ciclista   0: metro  26, raia  9
Ciclista   1: metro  69, raia  8
Ciclista   2: metro  69, raia  6
Ciclista   4: metro  49, raia  6
Ciclista   5: metro  30, raia  7
Ciclista   6: metro  49, raia  9
Ciclista   8: metro  38, raia  9
Ciclista   9: metro  71, raia  8
Ciclista  10: metro  56, raia  3
Ciclista  14: metro   7, raia  8
Ciclista  15: metro  64, raia  8
Ciclista  17: metro  71, raia  9
Ciclista  19: metro  71, raia  7
Ciclista  20: metro  34, raia  0
Ciclista  21: metro  67, raia  2
Ciclista  22: metro  23, raia  7
Ciclista  23: metro  72, raia  8
Ciclista  25: metro  34, raia  8
Ciclista  31: metro  38, raia  8
Ciclista  33: metro  37, raia  6
Ciclista  35: metro  38, raia  1
Ciclista  36: metro   5, raia  9
Ciclista  37: metro  66, raia  8
Ciclista  39: metro  40, raia  8
Ciclista  42: metro  32, raia  8
Ciclista  44: metro  41, raia  7
Ciclista  49: metro  72, raia  9
Ciclista  51: metro  25, raia  6
Ciclista  52: metro  70, raia  9
Ciclista  54: metro  47, raia  6
Ciclista  57: metro  11, raia  8
Ciclista  62: metro   7, raia  7
Ciclista  66: metro  46, raia  5
Ciclista  69: metro  64, raia  6
Ciclista  73: metro  20, raia  8
Ciclista  74: metro  65, raia  7

VOLTA 17
Ciclista   0: metro  71, raia  9
Ciclista   1: metro   2, raia  8
Ciclista   2: metro   1, raia  9
Ciclista   4: metro  32, raia  6
Ciclista   5: metro   0, raia  7
Ciclista   6: metro  64, raia  8
Ciclista   8: metro  53, raia  8
Ciclista   9: metro  40, raia  8
Ciclista  10: metro  71, raia  3
Ciclista  14: metro  11, raia  9
Ciclista  15: metro   0, raia  8
Ciclista  17: metro  42, raia  7
Ciclista  19: metro  43, raia  7
Ciclista  20: metro   8, raia  0
Ciclista  21: metro   7, raia  2
Ciclista  22: metro  68, raia  7
Ciclista  23: metro  42, raia  9
Ciclista  25: metro   4, raia  8
Ciclista  31: metro  15, raia  8
Ciclista  33: metro  52, raia  5
Ciclista  35: metro  16, raia  1
Ciclista  36: metro   9, raia  8
Ciclista  37: metro  36, raia  8
Ciclista  39: metro  20, raia  8
Ciclista  42: metro   3, raia  8
Ciclista  44: metro  11, raia  7
Ciclista  49: metro   9, raia  9
Ciclista  51: metro  70, raia  6
Ciclista  52: metro  39, raia  9
Ciclista  54: metro  31, raia  7
Ciclista  57: metro  26, raia  8
Ciclista  62: metro  52, raia  7
Ciclista  66: metro  32, raia  5
Ciclista  69: metro  67, raia  6
Ciclista  73: metro  18, raia  9
Ciclista  74: metro  69, raia  8

VOLTA 18
Ciclista   0: metro  66, raia  8
Ciclista   1: metro   2, raia  8
Ciclista   2: metro  39, raia  9
Ciclista   4: metro  70, raia  6
Ciclista   5: metro   0, raia  7
Ciclista   6: metro  32, raia  8
Ciclista   8: metro  27, raia  8
Ciclista   9: metro   4, raia  8
Ciclista  10: metro  36, raia  3
Ciclista  14: metro  49, raia  9
Ciclista  17: metro   4, raia  7
Ciclista  19: metro  11, raia  7
Ciclista  20: metro   4, raia  0
Ciclista  21: metro   7, raia  2
Ciclista  22: metro  30, raia  7
Ciclista  23: metro   8, raia  9
Ciclista  25: metro  42, raia  8
Ciclista  31: metro   8, raia  8
Ciclista  33: metro  26, raia  5
Ciclista  35: metro  16, raia  1
Ciclista  36: metro  47, raia  8
Ciclista  37: metro  73, raia  8
Ciclista  39: metro  20, raia  8
Ciclista  42: metro   3, raia  8
Ciclista  44: metro  48, raia  7
Ciclista  49: metro   9, raia  9
Ciclista  51: metro  65, raia  6
Ciclista  52: metro   1, raia  9
Ciclista  54: metro  69, raia  8
Ciclista  57: metro  26, raia  9
Ciclista  62: metro  14, raia  7
Ciclista  66: metro  16, raia  5
Ciclista  69: metro  67, raia  8
Ciclista  73: metro  55, raia  9
Ciclista  74: metro  35, raia  8

VOLTA 19
Ciclista   0: metro  60, raia  8
Ciclista   1: metro  54, raia  8
Ciclista   2: metro  46, raia  8
Ciclista   4: metro  21, raia  6
Ciclista   5: metro  64, raia  7
Ciclista   6: metro  28, raia  9
Ciclista   9: metro  29, raia  8
Ciclista  10: metro  49, raia  3
Ciclista  14: metro  72, raia  9
Ciclista  17: metro  68, raia  7
Ciclista  19: metro  59, raia  9
Ciclista  20: metro  68, raia  0
Ciclista  21: metro  60, raia  2
Ciclista  22: metro  19, raia  7
Ciclista  23: metro  30, raia  9
Ciclista  25: metro  31, raia  8
Ciclista  31: metro  72, raia  8
Ciclista  33: metro  30, raia  5
Ciclista  35: metro  69, raia  1
Ciclista  36: metro  36, raia  8
Ciclista  37: metro  62, raia  8
Ciclista  39: metro  63, raia  7
Ciclista  42: metro  53, raia  9
Ciclista  44: metro  37, raia  7
Ciclista  49: metro  31, raia  9
Ciclista  51: metro  43, raia  8
Ciclista  52: metro  65, raia  9
Ciclista  54: metro  58, raia  7
Ciclista  57: metro   0, raia  9
Ciclista  62: metro   3, raia  7
Ciclista  66: metro  10, raia  5
Ciclista  69: metro  60, raia  9
Ciclista  73: metro  44, raia  9
Ciclista  74: metro  41, raia  8

VOLTA 20
Ciclista   0: metro  43, raia  7
Ciclista   1: metro  64, raia  8
Ciclista   2: metro  41, raia  7
Ciclista   4: metro  41, raia  6
Ciclista   5: metro  52, raia  7
Ciclista   6: metro  29, raia  9
Ciclista   9: metro  56, raia  6
Ciclista  10: metro  62, raia  3
Ciclista  14: metro  73, raia  9
Ciclista  17: metro  30, raia  9
Ciclista  19: metro  51, raia  7
Ciclista  20: metro  60, raia  0
Ciclista  21: metro  67, raia  2
Ciclista  22: metro  37, raia  7
Ciclista  23: metro  56, raia  7
Ciclista  25: metro  30, raia  8
Ciclista  31: metro  71, raia  8
Ciclista  33: metro  52, raia  5
Ciclista  35: metro  72, raia  1
Ciclista  36: metro  70, raia  9
Ciclista  37: metro  48, raia  7
Ciclista  39: metro  69, raia  8
Ciclista  42: metro  60, raia  7
Ciclista  44: metro  73, raia  8
Ciclista  49: metro  61, raia  8
Ciclista  51: metro  21, raia  7
Ciclista  52: metro  27, raia  8
Ciclista  54: metro  20, raia  6
Ciclista  62: metro   3, raia  7
Ciclista  66: metro  42, raia  5
Ciclista  69: metro  60, raia  9
Ciclista  73: metro  12, raia  8
Ciclista  74: metro  40, raia  7

VOLTA 21
Ciclista   0: metro  58, raia  9
Ciclista   1: metro  69, raia  9
Ciclista   2: metro  57, raia  8
Ciclista   4: metro  29, raia  6
Ciclista   5: metro  67, raia  9
Ciclista   6: metro  74, raia  9
Ciclista   9: metro  36, raia  6
Ciclista  10: metro  64, raia  3
Ciclista  14: metro  43, raia  9
Ciclista  17: metro   1, raia  9
Ciclista  19: metro  66, raia  9
Ciclista  20: metro  38, raia  0
Ciclista  21: metro   0, raia  2
Ciclista  22: metro  53, raia  8
Ciclista  23: metro  36, raia  9
Ciclista  25: metro   1, raia  8
Ciclista  31: metro  42, raia  6
Ciclista  33: metro  23, raia  5
Ciclista  35: metro   5, raia  1
Ciclista  36: metro  11, raia  7
Ciclista  37: metro  64, raia  9
Ciclista  39: metro  39, raia  8
Ciclista  42: metro  60, raia  8
Ciclista  44: metro  45, raia  8
Ciclista  49: metro   1, raia  7
Ciclista  51: metro  67, raia  7
Ciclista  52: metro  72, raia  8
Ciclista  54: metro  65, raia  6
Ciclista  62: metro  48, raia  7
Ciclista  66: metro  13, raia  5
Ciclista  69: metro  60, raia  9
Ciclista  73: metro  28, raia  7
Ciclista  74: metro  56, raia  9

VOLTA 22
Ciclista   0: metro  29, raia  7
Ciclista   1: metro  69, raia  7
Ciclista   2: metro  54, raia  6
Ciclista   4: metro  66, raia  6
Ciclista   5: metro  34, raia  9
Ciclista   6: metro  37, raia  9
Ciclista   9: metro  74, raia  6
Ciclista  10: metro  32, raia  3
Ciclista  14: metro  10, raia  9
Ciclista  17: metro  38, raia  9
Ciclista  19: metro  33, raia  8
Ciclista  20: metro   1, raia  0
Ciclista  22: metro  52, raia  6
Ciclista  23: metro  74, raia  9
Ciclista  25: metro  38, raia  8
Ciclista  31: metro   8, raia  6
Ciclista  33: metro  60, raia  5
Ciclista  35: metro  42, raia  1
Ciclista  36: metro   6, raia  7
Ciclista  37: metro  33, raia  9
Ciclista  39: metro   3, raia  8
Ciclista  42: metro  60, raia  6
Ciclista  44: metro  14, raia  9
Ciclista  49: metro  39, raia  7
Ciclista  51: metro  29, raia  6
Ciclista  52: metro  35, raia  8
Ciclista  54: metro  28, raia  6
Ciclista  62: metro  21, raia  7
Ciclista  66: metro  50, raia  5
Ciclista  69: metro  30, raia  9
Ciclista  73: metro  14, raia  8
Ciclista  74: metro  27, raia  8

VOLTA 23
Ciclista   0: metro  70, raia  7
Ciclista   1: metro   0, raia  9
Ciclista   2: metro  60, raia  9
Ciclista   4: metro  63, raia  9
Ciclista   5: metro  73, raia  9
Ciclista   6: metro   4, raia  8
Ciclista   9: metro  39, raia  6
Ciclista  10: metro  73, raia  3
Ciclista  14: metro   8, raia  8
Ciclista  17: metro   5, raia  8
Ciclista  19: metro  74, raia  7
Ciclista  20: metro   7, raia  0
Ciclista  22: metro  58, raia  9
Ciclista  23: metro   2, raia  9
Ciclista  25: metro   4, raia  9
Ciclista  31: metro   7, raia  8
Ciclista  33: metro  51, raia  5
Ciclista  35: metro  15, raia  1
Ciclista  36: metro  46, raia  7
Ciclista  37: metro  37, raia  8
Ciclista  39: metro   9, raia  9
Ciclista  42: metro  33, raia  7
Ciclista  44: metro  20, raia  8
Ciclista  49: metro   4, raia  7
Ciclista  51: metro  70, raia  6
Ciclista  52: metro   0, raia  8
Ciclista  54: metro  68, raia  6
Ciclista  62: metro  27, raia  8
Ciclista  66: metro  16, raia  5
Ciclista  69: metro  71, raia  9
Ciclista  73: metro  55, raia  8
Ciclista  74: metro  68, raia  8

VOLTA 24
Ciclista   0: metro  65, raia  9
Ciclista   2: metro  31, raia  9
Ciclista   4: metro  63, raia  9
Ciclista   5: metro  72, raia  6
Ciclista   6: metro   5, raia  8
Ciclista   9: metro   4, raia  6
Ciclista  10: metro  36, raia  3
Ciclista  14: metro  46, raia  8
Ciclista  17: metro   3, raia  9
Ciclista  19: metro  73, raia  9
Ciclista  20: metro   4, raia  0
Ciclista  22: metro  45, raia  8
Ciclista  23: metro  40, raia  9
Ciclista  25: metro  42, raia  9
Ciclista  31: metro  45, raia  9
Ciclista  33: metro  52, raia  5
Ciclista  35: metro  16, raia  1
Ciclista  36: metro   9, raia  7
Ciclista  37: metro  19, raia  9
Ciclista  39: metro   5, raia  9
Ciclista  42: metro  71, raia  7
Ciclista  44: metro  21, raia  8
Ciclista  49: metro  42, raia  7
Ciclista  51: metro  65, raia  6
Ciclista  52: metro   1, raia  9
Ciclista  54: metro  62, raia  6
Ciclista  62: metro  28, raia  8
Ciclista  66: metro  54, raia  5
Ciclista  69: metro  67, raia  9
Ciclista  73: metro  18, raia  8
Ciclista  74: metro  31, raia  8

VOLTA 25
Ciclista   0: metro  74, raia  7
Ciclista   2: metro  68, raia  8
Ciclista   5: metro   5, raia  6
Ciclista   6: metro  13, raia  9
Ciclista   9: metro  12, raia  7
Ciclista  10: metro  40, raia  3
Ciclista  14: metro  13, raia  8
Ciclista  17: metro   7, raia  9
Ciclista  20: metro  16, raia  0
Ciclista  22: metro  64, raia  9
Ciclista  23: metro  44, raia  9
Ciclista  31: metro  48, raia  9
Ciclista  33: metro  30, raia  8
Ciclista  35: metro  12, raia  1
Ciclista  36: metro  26, raia  7
Ciclista  37: metro  23, raia  9
Ciclista  39: metro   9, raia  9
Ciclista  42: metro   0, raia  8
Ciclista  44: metro  34, raia  9
Ciclista  49: metro  46, raia  7
Ciclista  51: metro  37, raia  7
Ciclista  52: metro   5, raia  9
Ciclista  54: metro  70, raia  6
Ciclista  62: metro  14, raia  8
Ciclista  66: metro  40, raia  5
Ciclista  69: metro   0, raia  9
Ciclista  73: metro  43, raia  8
Ciclista  74: metro  69, raia  8

VOLTA 26
Ciclista   0: metro  37, raia  7
Ciclista   2: metro  34, raia  8
Ciclista   5: metro   3, raia  6
Ciclista   6: metro  13, raia  8
Ciclista   9: metro  12, raia  6
Ciclista  10: metro   4, raia  3
Ciclista  14: metro  50, raia  8
Ciclista  17: metro  45, raia  9
Ciclista  20: metro  16, raia  0
Ciclista  23: metro   6, raia  9
Ciclista  31: metro  11, raia  9
Ciclista  33: metro  68, raia  8
Ciclista  35: metro  50, raia  1
Ciclista  36: metro  26, raia  8
Ciclista  37: metro  61, raia  9
Ciclista  39: metro  47, raia  9
Ciclista  44: metro  71, raia  9
Ciclista  49: metro   9, raia  7
Ciclista  51: metro  74, raia  7
Ciclista  52: metro  42, raia  9
Ciclista  54: metro  70, raia  6
Ciclista  62: metro  52, raia  8
Ciclista  66: metro  20, raia  5
Ciclista  69: metro  74, raia  8
Ciclista  73: metro  43, raia  8
Ciclista  74: metro  69, raia  9

VOLTA 27
Ciclista   0: metro  47, raia  7
Ciclista   2: metro  45, raia  6
Ciclista   5: metro  26, raia  7
Ciclista   6: metro  34, raia  9
Ciclista   9: metro  54, raia  6
Ciclista  10: metro  50, raia  3
Ciclista  14: metro  23, raia  6
Ciclista  17: metro  18, raia  8
Ciclista  20: metro  56, raia  0
Ciclista  23: metro  16, raia  9
Ciclista  31: metro  21, raia  9
Ciclista  33: metro   0, raia  8
Ciclista  36: metro  24, raia  8
Ciclista  37: metro  71, raia  9
Ciclista  44: metro   7, raia  9
Ciclista  49: metro  19, raia  7
Ciclista  54: metro  46, raia  9
Ciclista  62: metro  25, raia  8
Ciclista  66: metro  61, raia  5
Ciclista  69: metro  10, raia  8
Ciclista  73: metro  32, raia  8
Ciclista  74: metro  45, raia  7

VOLTA 28
Ciclista   0: metro  68, raia  7
Ciclista   2: metro  32, raia  6
Ciclista   6: metro  42, raia  8
Ciclista   9: metro  41, raia  6
Ciclista  14: metro  20, raia  6
Ciclista  17: metro   5, raia  8
Ciclista  20: metro   6, raia  0
Ciclista  23: metro   3, raia  9
Ciclista  31: metro  16, raia  9
Ciclista  33: metro  62, raia  8
Ciclista  36: metro  19, raia  9
Ciclista  44: metro  69, raia  9
Ciclista  49: metro   6, raia  7
Ciclista  62: metro  12, raia  8
Ciclista  66: metro  55, raia  5
Ciclista  69: metro  72, raia  8
Ciclista  73: metro  19, raia  8
Ciclista  74: metro  32, raia  7

VOLTA 29
Ciclista   0: metro  68, raia  7
Ciclista   2: metro  55, raia  6
Ciclista   6: metro   0, raia  9
Ciclista   9: metro  74, raia  6
Ciclista  14: metro  44, raia  9
Ciclista  17: metro   1, raia  8
Ciclista  20: metro   3, raia  0
Ciclista  23: metro  74, raia  9
Ciclista  31: metro   8, raia  9
Ciclista  33: metro  58, raia  8
Ciclista  36: metro  11, raia  9
Ciclista  44: metro  65, raia  9
Ciclista  49: metro   2, raia  7
Ciclista  62: metro  15, raia  8
Ciclista  66: metro  14, raia  5
Ciclista  69: metro  68, raia  8
Ciclista  73: metro  30, raia  8
Ciclista  74: metro  28, raia  7

VOLTA 30
Ciclista   0: metro  19, raia  8
Ciclista   2: metro   7, raia  6
Ciclista   6: metro  55, raia  9
Ciclista   9: metro  17, raia  6
Ciclista  14: metro  23, raia  9
Ciclista  17: metro  55, raia  8
Ciclista  20: metro  19, raia  0
Ciclista  23: metro  22, raia  9
Ciclista  31: metro  21, raia  8
Ciclista  36: metro  23, raia  8
Ciclista  44: metro  44, raia  9
Ciclista  49: metro  57, raia  7
Ciclista  62: metro  49, raia  9
Ciclista  66: metro  68, raia  5
Ciclista  69: metro  48, raia  8
Ciclista  73: metro  64, raia  8
Ciclista  74: metro  14, raia  7

VOLTA 31
Ciclista   0: metro  30, raia  7
Ciclista   2: metro  50, raia  6
Ciclista   6: metro  45, raia  7
Ciclista   9: metro  60, raia  6
Ciclista  14: metro  66, raia  9
Ciclista  17: metro  46, raia  9
Ciclista  20: metro  62, raia  0
Ciclista  23: metro  28, raia  8
Ciclista  31: metro  64, raia  7
Ciclista  36: metro  66, raia  7
Ciclista  44: metro  24, raia  9
Ciclista  49: metro  49, raia  7
Ciclista  62: metro  30, raia  8
Ciclista  66: metro  72, raia  5
Ciclista  69: metro  31, raia  9
Ciclista  73: metro   0, raia  8
Ciclista  74: metro  25, raia  8

VOLTA 32
Ciclista   0: metro  52, raia  7
Ciclista   6: metro  60, raia  7
Ciclista   9: metro  59, raia  6
Ciclista  14: metro  66, raia  9
Ciclista  17: metro  60, raia  9
Ciclista  20: metro  61, raia  0
Ciclista  23: metro  27, raia  9
Ciclista  31: metro  64, raia  7
Ciclista  36: metro  55, raia  8
Ciclista  44: metro  49, raia  9
Ciclista  49: metro  62, raia  7
Ciclista  62: metro  59, raia  8
Ciclista  66: metro  73, raia  5
Ciclista  69: metro  53, raia  9
Ciclista  74: metro  24, raia  9

VOLTA 33
Ciclista   0: metro  30, raia  7
Ciclista   6: metro   0, raia  9
Ciclista   9: metro  37, raia  6
Ciclista  14: metro   6, raia  9
Ciclista  17: metro   1, raia  9
Ciclista  20: metro  39, raia  0
Ciclista  23: metro  58, raia  9
Ciclista  31: metro  42, raia  7
Ciclista  36: metro  43, raia  8
Ciclista  44: metro  27, raia  9
Ciclista  49: metro   4, raia  9
Ciclista  62: metro  45, raia  8
Ciclista  66: metro  51, raia  5
Ciclista  69: metro  31, raia  9
Ciclista  74: metro  55, raia  9

VOLTA 34
Ciclista   0: metro  68, raia  7
Ciclista   9: metro   0, raia  6
Ciclista  14: metro  44, raia  9
Ciclista  17: metro  38, raia  9
Ciclista  23: metro  58, raia  8
Ciclista  31: metro   4, raia  7
Ciclista  36: metro  11, raia  8
Ciclista  44: metro  64, raia  9
Ciclista  49: metro   2, raia  8
Ciclista  62: metro  15, raia  8
Ciclista  66: metro  27, raia  5
Ciclista  69: metro  68, raia  9
Ciclista  74: metro  28, raia  9

VOLTA 35
Ciclista   0: metro   5, raia  7
Ciclista   9: metro  10, raia  6
Ciclista  14: metro  32, raia  9
Ciclista  17: metro  11, raia  9
Ciclista  23: metro   3, raia  8
Ciclista  31: metro  28, raia  7
Ciclista  36: metro  53, raia  8
Ciclista  44: metro  74, raia  9
Ciclista  49: metro  12, raia  8
Ciclista  62: metro  55, raia  8
Ciclista  66: metro  61, raia  5
Ciclista  69: metro  41, raia  8
Ciclista  74: metro   0, raia  8

VOLTA 36
Ciclista   0: metro  40, raia  7
Ciclista   9: metro  18, raia  6
Ciclista  14: metro  31, raia  9
Ciclista  17: metro  20, raia  9
Ciclista  23: metro  39, raia  9
Ciclista  31: metro  51, raia  7
Ciclista  36: metro  53, raia  8
Ciclista  44: metro  73, raia  9
Ciclista  49: metro  23, raia  8
Ciclista  62: metro  55, raia  8
Ciclista  66: metro  23, raia  5
Ciclista  69: metro  40, raia  8

VOLTA 37
Ciclista   0: metro  25, raia  7
Ciclista   9: metro  63, raia  6
Ciclista  14: metro  38, raia  9
Ciclista  17: metro  65, raia  9
Ciclista  23: metro  24, raia  8
Ciclista  31: metro  72, raia  7
Ciclista  36: metro   0, raia  9
Ciclista  44: metro  20, raia  9
Ciclista  49: metro  68, raia  9
Ciclista  62: metro  40, raia  8
Ciclista  66: metro   8, raia  5
Ciclista  69: metro  50, raia  9

VOLTA 38
Ciclista   0: metro  48, raia  7
Ciclista   9: metro  31, raia  6
Ciclista  14: metro   0, raia  8
Ciclista  17: metro  64, raia  9
Ciclista  23: metro  23, raia  8
Ciclista  31: metro  73, raia  7
Ciclista  44: metro  39, raia  9
Ciclista  49: metro  34, raia  9
Ciclista  62: metro  39, raia  8
Ciclista  66: metro  15, raia  5
Ciclista  69: metro  25, raia  9

VOLTA 39
Ciclista   0: metro  59, raia  8
Ciclista   9: metro  74, raia  6
Ciclista  14: metro   6, raia  8
Ciclista  17: metro   0, raia  8
Ciclista  23: metro  66, raia  8
Ciclista  31: metro  41, raia  7
Ciclista  44: metro  50, raia  9
Ciclista  49: metro   3, raia  9
Ciclista  62: metro   7, raia  8
Ciclista  69: metro  68, raia  9

VOLTA 40
Ciclista   0: metro  29, raia  7
Ciclista   9: metro  74, raia  6
Ciclista  14: metro   5, raia  8
Ciclista  23: metro  28, raia  9
Ciclista  31: metro  41, raia  7
Ciclista  44: metro  25, raia  9
Ciclista  49: metro  39, raia  9
Ciclista  62: metro   7, raia  8
Ciclista  69: metro  59, raia  8

VOLTA 41
Ciclista   0: metro   0, raia  7
Ciclista   9: metro  44, raia  6
Ciclista  14: metro  26, raia  9
Ciclista  23: metro  74, raia  9
Ciclista  31: metro  22, raia  7
Ciclista  44: metro  70, raia  9
Ciclista  49: metro  47, raia  9
Ciclista  62: metro  15, raia  8
Ciclista  69: metro   0, raia  8

VOLTA 42
Ciclista   0: metro  37, raia  7
Ciclista   9: metro   7, raia  6
Ciclista  14: metro  13, raia  8
Ciclista  23: metro  36, raia  9
Ciclista  31: metro  11, raia  7
Ciclista  44: metro  33, raia  9
Ciclista  49: metro  18, raia  9
Ciclista  62: metro  52, raia  8

VOLTA 43
Ciclista   0: metro   0, raia  8
Ciclista   9: metro  14, raia  6
Ciclista  14: metro  27, raia  8
Ciclista  31: metro  49, raia  7
Ciclista  44: metro  71, raia  9
Ciclista  49: metro  19, raia  8

VOLTA 44
Ciclista   9: metro  14, raia  6
Ciclista  14: metro  27, raia  8
Ciclista  31: metro  12, raia  7
Ciclista  44: metro  33, raia  9
Ciclista  49: metro  10, raia  8

VOLTA 45
Ciclista   9: metro  31, raia  6
Ciclista  14: metro   0, raia  9
Ciclista  31: metro  73, raia  7
Ciclista  49: metro  71, raia  8

VOLTA 46
Ciclista   9: metro  69, raia  6
Ciclista  31: metro  71, raia  7
Ciclista  49: metro  67, raia  8

VOLTA 47
Ciclista   9: metro  69, raia  6
Ciclista  31: metro   3, raia  7
Ciclista  49: metro   0, raia  8

VOLTA 48
Ciclista   9: metro  70, raia  6
Ciclista  31: metro   4, raia  7

VOLTA 49
Ciclista   9: metro   0, raia  6
Ciclista  31: metro   5, raia  7

VOLTA 50
Ciclista  31: metro  42, raia  7

VOLTA 51
Ciclista  31: metro   0, raia  7

VOLTA 52

RESULTADO FINAL
Ciclista   0: ganhou na colocação 24 no instante de tempo 324.34 segundos
Ciclista   1: ganhou na colocação 14 no instante de tempo 155.92 segundos
Ciclista   2: quebrou na volta 30
Ciclista   3: quebrou na volta 12
Ciclista   4: quebrou na volta 24
Ciclista   5: ganhou na colocação 16 no instante de tempo 190.05 segundos
Ciclista   6: ganhou na colocação 19 no instante de tempo 233.31 segundos
Ciclista   7: quebrou na volta 12
Ciclista   8: quebrou na volta 18
Ciclista   9: ganhou na colocação 27 no instante de tempo 365.53 segundos
Ciclista  10: quebrou na volta 24
Ciclista  11: quebrou na volta 6
Ciclista  12: quebrou na volta 6
Ciclista  13: quebrou na volta 6
Ciclista  14: ganhou na colocação 25 no instante de tempo 336.68 segundos
Ciclista  15: ganhou na colocação 11 no instante de tempo 117.00 segundos
Ciclista  16: quebrou na volta 12
Ciclista  17: ganhou na colocação 22 no instante de tempo 285.86 segundos
Ciclista  18: quebrou na volta 6
Ciclista  19: quebrou na volta 24
Ciclista  20: quebrou na volta 30
Ciclista  21: ganhou na colocação 13 no instante de tempo 145.74 segundos
Ciclista  22: quebrou na volta 24
Ciclista  23: quebrou na volta 42
